index,answer,t0,t1,webm_url,video_id
27,group content,215.359999,246.79,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/721bd683-0ff0-4635-bb0e-664c32921f06/8d186f1e-7567-42ff-90a8-3e4ca63981b5_20151212010534.1280x720at2400_vp8.webm,14646
28,add a layer mask,40.47,84.05,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/8cf097fc-e098-47c1-b5ae-d049383f6a98/da44e170-58e8-42c1-9538-bc3667aa09e4_20151212122732.1280x720at2400_vp8.webm,14647
29,add a layer mask,129.16,156.39,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/8cf097fc-e098-47c1-b5ae-d049383f6a98/da44e170-58e8-42c1-9538-bc3667aa09e4_20151212122732.1280x720at2400_vp8.webm,14647
30,resize brush,157.12,168.06,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/8cf097fc-e098-47c1-b5ae-d049383f6a98/da44e170-58e8-42c1-9538-bc3667aa09e4_20151212122732.1280x720at2400_vp8.webm,14647
31,unmask image,210.429999,219.54,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/8cf097fc-e098-47c1-b5ae-d049383f6a98/da44e170-58e8-42c1-9538-bc3667aa09e4_20151212122732.1280x720at2400_vp8.webm,14647
32,add a gradient,228.429999,256.39,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/8cf097fc-e098-47c1-b5ae-d049383f6a98/da44e170-58e8-42c1-9538-bc3667aa09e4_20151212122732.1280x720at2400_vp8.webm,14647
33,crop an image,57.21,81.97,https://images-tv.adobe.com/avp/vr/462e2631-03ef-4b5e-a360-163c1cce9d1e/3e32511b-295c-4ca5-9174-cc6d5cb4e8e9/57f30cee-9c24-4df0-9e57-f67d39a1857b_20170222022322.1280x720at2400_vp8.webm,14659
34,constrain the crop to a certain ratio,83.03,103.89,https://images-tv.adobe.com/avp/vr/462e2631-03ef-4b5e-a360-163c1cce9d1e/3e32511b-295c-4ca5-9174-cc6d5cb4e8e9/57f30cee-9c24-4df0-9e57-f67d39a1857b_20170222022322.1280x720at2400_vp8.webm,14659
35,crop an image to a particular dimension,105.12,122.679999,https://images-tv.adobe.com/avp/vr/462e2631-03ef-4b5e-a360-163c1cce9d1e/3e32511b-295c-4ca5-9174-cc6d5cb4e8e9/57f30cee-9c24-4df0-9e57-f67d39a1857b_20170222022322.1280x720at2400_vp8.webm,14659
36,straighten an image,123.75,141.859999,https://images-tv.adobe.com/avp/vr/462e2631-03ef-4b5e-a360-163c1cce9d1e/3e32511b-295c-4ca5-9174-cc6d5cb4e8e9/57f30cee-9c24-4df0-9e57-f67d39a1857b_20170222022322.1280x720at2400_vp8.webm,14659
37,hide cropped pixels,142.709999,161.539999,https://images-tv.adobe.com/avp/vr/462e2631-03ef-4b5e-a360-163c1cce9d1e/3e32511b-295c-4ca5-9174-cc6d5cb4e8e9/57f30cee-9c24-4df0-9e57-f67d39a1857b_20170222022322.1280x720at2400_vp8.webm,14659
38,save image in photoshop format,169.64,184.11,https://images-tv.adobe.com/avp/vr/462e2631-03ef-4b5e-a360-163c1cce9d1e/3e32511b-295c-4ca5-9174-cc6d5cb4e8e9/57f30cee-9c24-4df0-9e57-f67d39a1857b_20170222022322.1280x720at2400_vp8.webm,14659
39,add adjustment layer,21.85,54.469999,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/32406bba-2d2d-4e02-97d3-f219761e45bd/2110a8da-c1f4-4076-9675-d2f3ff00fd61_20151214023048.1280x720at2400_vp8.webm,14660
40,edit adjustment,70.559999,98.13,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/32406bba-2d2d-4e02-97d3-f219761e45bd/2110a8da-c1f4-4076-9675-d2f3ff00fd61_20151214023048.1280x720at2400_vp8.webm,14660
41,hide adjustment,123.46,185.14,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/32406bba-2d2d-4e02-97d3-f219761e45bd/2110a8da-c1f4-4076-9675-d2f3ff00fd61_20151214023048.1280x720at2400_vp8.webm,14660
42,compare before and after adjustment,233.539999,249.21,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/32406bba-2d2d-4e02-97d3-f219761e45bd/2110a8da-c1f4-4076-9675-d2f3ff00fd61_20151214023048.1280x720at2400_vp8.webm,14660
43,change color boost of adjustment layer,258.74,270.99,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/32406bba-2d2d-4e02-97d3-f219761e45bd/2110a8da-c1f4-4076-9675-d2f3ff00fd61_20151214023048.1280x720at2400_vp8.webm,14660
44,delete adjustment layer,272.74,286.61,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/32406bba-2d2d-4e02-97d3-f219761e45bd/2110a8da-c1f4-4076-9675-d2f3ff00fd61_20151214023048.1280x720at2400_vp8.webm,14660
45,remove small object from image,52.49,119.41,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/5c360d84-d396-44f4-ae8c-0a469d7fbdf0/45f85075-2e95-42ee-a4fb-cc8bef09c398_20151214031716.1280x720at2400_vp8.webm,14661
46,undo a removal,150.44,166.08,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/5c360d84-d396-44f4-ae8c-0a469d7fbdf0/45f85075-2e95-42ee-a4fb-cc8bef09c398_20151214031716.1280x720at2400_vp8.webm,14661
47,remove large object from image,179.43,243.8,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/5c360d84-d396-44f4-ae8c-0a469d7fbdf0/45f85075-2e95-42ee-a4fb-cc8bef09c398_20151214031716.1280x720at2400_vp8.webm,14661
48,smart object,15.589999,40.21,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/298bd0ee-9c5a-4a23-809c-8c722704d199/1bdcd94f-a7e5-470a-8722-e92378d1554f_20151214030034.1280x720at2400_vp8.webm,14662
49,tilt shift filter,56.73,109.16,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/298bd0ee-9c5a-4a23-809c-8c722704d199/1bdcd94f-a7e5-470a-8722-e92378d1554f_20151214030034.1280x720at2400_vp8.webm,14662
50,hide the filter,119.75,134.4,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/298bd0ee-9c5a-4a23-809c-8c722704d199/1bdcd94f-a7e5-470a-8722-e92378d1554f_20151214030034.1280x720at2400_vp8.webm,14662
51,adjust contrast of an image,159.83,173.94,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/298bd0ee-9c5a-4a23-809c-8c722704d199/1bdcd94f-a7e5-470a-8722-e92378d1554f_20151214030034.1280x720at2400_vp8.webm,14662
52,add artistic color tint,175.389999,203.29,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/298bd0ee-9c5a-4a23-809c-8c722704d199/1bdcd94f-a7e5-470a-8722-e92378d1554f_20151214030034.1280x720at2400_vp8.webm,14662
53,sharpen image,61.91,139.23,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/0b447281-1ff4-41c9-8b93-0f8f7e435e47/7069d310-6e77-43ff-b0b5-bef12c7f0c5f_20151214032339.1280x720at2400_vp8.webm,14663
54,change sharpen filter settings,141.41,169.31,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/0b447281-1ff4-41c9-8b93-0f8f7e435e47/7069d310-6e77-43ff-b0b5-bef12c7f0c5f_20151214032339.1280x720at2400_vp8.webm,14663
55,save image as jpeg,199.98,217.57,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/0b447281-1ff4-41c9-8b93-0f8f7e435e47/7069d310-6e77-43ff-b0b5-bef12c7f0c5f_20151214032339.1280x720at2400_vp8.webm,14663
56,change quality of sharable image,219.42,245.5,https://images-tv.adobe.com/avp/vr/b3750ea0-c30d-4b5d-b762-db043c5f3f91/0b447281-1ff4-41c9-8b93-0f8f7e435e47/7069d310-6e77-43ff-b0b5-bef12c7f0c5f_20151214032339.1280x720at2400_vp8.webm,14663
57,make a new layer,37.23,55.96,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/07d2dc67-33c8-4454-bb61-2f8404fa40c2/2552df9f-5f97-4090-b7c5-b5c27f2e061a_20160225115255.1280x720at2400_vp8.webm,14994
58,fill foreground color,85.46,98.81,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/07d2dc67-33c8-4454-bb61-2f8404fa40c2/2552df9f-5f97-4090-b7c5-b5c27f2e061a_20160225115255.1280x720at2400_vp8.webm,14994
59,move layer,145.34,160.72,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/07d2dc67-33c8-4454-bb61-2f8404fa40c2/2552df9f-5f97-4090-b7c5-b5c27f2e061a_20160225115255.1280x720at2400_vp8.webm,14994
60,add text to layer,165.18,181.48,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/07d2dc67-33c8-4454-bb61-2f8404fa40c2/2552df9f-5f97-4090-b7c5-b5c27f2e061a_20160225115255.1280x720at2400_vp8.webm,14994
61,change color of selected font,195.7,212.13,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/07d2dc67-33c8-4454-bb61-2f8404fa40c2/2552df9f-5f97-4090-b7c5-b5c27f2e061a_20160225115255.1280x720at2400_vp8.webm,14994
62,save file in Photoshop format,255.6,265.07,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/07d2dc67-33c8-4454-bb61-2f8404fa40c2/2552df9f-5f97-4090-b7c5-b5c27f2e061a_20160225115255.1280x720at2400_vp8.webm,14994
63,find images for use,33.65,54.25,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/e88ced8c-6367-4405-9027-c1887b6d3ea1/dfb7bb31-8abf-49c5-8c39-d67d1bf18a04_20160225115431.1280x720at2400_vp8.webm,14995
64,blur photo,61.37,90.03,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/e88ced8c-6367-4405-9027-c1887b6d3ea1/dfb7bb31-8abf-49c5-8c39-d67d1bf18a04_20160225115431.1280x720at2400_vp8.webm,14995
65,create a translucent circle,100.7,183.2,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/e88ced8c-6367-4405-9027-c1887b6d3ea1/dfb7bb31-8abf-49c5-8c39-d67d1bf18a04_20160225115431.1280x720at2400_vp8.webm,14995
66,add text to design,186.18,212.19,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/e88ced8c-6367-4405-9027-c1887b6d3ea1/dfb7bb31-8abf-49c5-8c39-d67d1bf18a04_20160225115431.1280x720at2400_vp8.webm,14995
67,export image,264.11,279.66,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/e88ced8c-6367-4405-9027-c1887b6d3ea1/dfb7bb31-8abf-49c5-8c39-d67d1bf18a04_20160225115431.1280x720at2400_vp8.webm,14995
68,use template file,17.18,27.69,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/2252ccaa-7e8e-449d-a5af-a1c841c0d1c4/ab32f3e8-5eca-47ef-902c-d77559afb898_20160225115423.1280x720at2400_vp8.webm,14996
69,create a shape,49.32,77.42,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/2252ccaa-7e8e-449d-a5af-a1c841c0d1c4/ab32f3e8-5eca-47ef-902c-d77559afb898_20160225115423.1280x720at2400_vp8.webm,14996
70,change color of a shape,95.23,105.38,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/2252ccaa-7e8e-449d-a5af-a1c841c0d1c4/ab32f3e8-5eca-47ef-902c-d77559afb898_20160225115423.1280x720at2400_vp8.webm,14996
71,add a layer style,128.02,148.75,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/2252ccaa-7e8e-449d-a5af-a1c841c0d1c4/ab32f3e8-5eca-47ef-902c-d77559afb898_20160225115423.1280x720at2400_vp8.webm,14996
72,resize a layer,192.65,226.64,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/2252ccaa-7e8e-449d-a5af-a1c841c0d1c4/ab32f3e8-5eca-47ef-902c-d77559afb898_20160225115423.1280x720at2400_vp8.webm,14996
73,export file as another copy in image format,257.43,278.83,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/2252ccaa-7e8e-449d-a5af-a1c841c0d1c4/ab32f3e8-5eca-47ef-902c-d77559afb898_20160225115423.1280x720at2400_vp8.webm,14996
74,create an artboard,63.52,80.76,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
75,add text to an image,81.45,101.42,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
76,change color of text,123.589999,134.01,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
77,move text into the design,134.63,144.299999,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
78,make another version of image,145.18,163.53,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
79,delete image on artboard,169.84,182.12,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
80,place another image on artboard,183.43,198.6,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
81,change color of text based on sample,217.45,264.09,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
82,save sampled color,232.85,257.65,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
83,save a project,298.65,307.9,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
84,export a file,308.97,329.19,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/45de8345-7cc5-46cf-b32b-b9643e20c489/351d4796-006c-49e9-8c73-56d3b96095d7_20160318022822.1280x720at2400_vp8.webm,15261
85,open multiple images,25.4,36.71,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/7f072d43-8a5a-49f4-a4ed-1c30d0a5a6e2/d307725d-fe16-442e-8484-eb7397f29c11_20160318022809.1280x720at2400_vp8.webm,15262
86,improve image appearance with adjustments,55.36,72.93,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/7f072d43-8a5a-49f4-a4ed-1c30d0a5a6e2/d307725d-fe16-442e-8484-eb7397f29c11_20160318022809.1280x720at2400_vp8.webm,15262
87,make image brighter,55.36,109.46,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/7f072d43-8a5a-49f4-a4ed-1c30d0a5a6e2/d307725d-fe16-442e-8484-eb7397f29c11_20160318022809.1280x720at2400_vp8.webm,15262
88,add hue saturation ,119.349999,150.06,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/7f072d43-8a5a-49f4-a4ed-1c30d0a5a6e2/d307725d-fe16-442e-8484-eb7397f29c11_20160318022809.1280x720at2400_vp8.webm,15262
89,copy adjustments,156.679999,217.28,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/7f072d43-8a5a-49f4-a4ed-1c30d0a5a6e2/d307725d-fe16-442e-8484-eb7397f29c11_20160318022809.1280x720at2400_vp8.webm,15262
90,edit brightness contrast,228.849999,242.15,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/7f072d43-8a5a-49f4-a4ed-1c30d0a5a6e2/d307725d-fe16-442e-8484-eb7397f29c11_20160318022809.1280x720at2400_vp8.webm,15262
91,put images into a single window,243.05,252.49,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/7f072d43-8a5a-49f4-a4ed-1c30d0a5a6e2/d307725d-fe16-442e-8484-eb7397f29c11_20160318022809.1280x720at2400_vp8.webm,15262
92,fix smudge in image,272.65,292.06,https://images-tv.adobe.com/avp/vr/ea49e5f1-d4bc-446e-94b2-f1c1363ecc51/7f072d43-8a5a-49f4-a4ed-1c30d0a5a6e2/d307725d-fe16-442e-8484-eb7397f29c11_20160318022809.1280x720at2400_vp8.webm,15262
93,add text to image,11.259999,54.6,https://images-tv.adobe.com/avp/vr/e0951ba2-b5b3-4ac7-a00d-14abbeafa072/21c6d686-bba4-4c8c-85e3-127a643452b1/83c9a81b-5e96-456b-8ca7-1d2be3c9fadf_20160516024816.1280x720at2400_vp8.webm,15567
94,add horizontal text,26.75,31.31,https://images-tv.adobe.com/avp/vr/e0951ba2-b5b3-4ac7-a00d-14abbeafa072/21c6d686-bba4-4c8c-85e3-127a643452b1/83c9a81b-5e96-456b-8ca7-1d2be3c9fadf_20160516024816.1280x720at2400_vp8.webm,15567
95,change font size,47.4,54.6,https://images-tv.adobe.com/avp/vr/e0951ba2-b5b3-4ac7-a00d-14abbeafa072/21c6d686-bba4-4c8c-85e3-127a643452b1/83c9a81b-5e96-456b-8ca7-1d2be3c9fadf_20160516024816.1280x720at2400_vp8.webm,15567
